frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"47","Mar 27, 2025 11:29:49.275251000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"48","Mar 27, 2025 11:29:49.275251000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"49","Mar 27, 2025 11:29:49.275269000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"50","Mar 27, 2025 11:29:49.275269000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"51","Mar 27, 2025 11:29:49.275269000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"52","Mar 27, 2025 11:29:49.275287000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"53","Mar 27, 2025 11:29:49.275287000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"54","Mar 27, 2025 11:29:49.275287000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"55","Mar 27, 2025 11:29:49.275306000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"56","Mar 27, 2025 11:29:49.275306000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"57","Mar 27, 2025 11:29:49.275306000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"58","Mar 27, 2025 11:29:49.275325000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"59","Mar 27, 2025 11:29:49.275325000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"60","Mar 27, 2025 11:29:49.275325000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"61","Mar 27, 2025 11:29:49.275344000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"62","Mar 27, 2025 11:29:49.275344000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"63","Mar 27, 2025 11:29:49.275344000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"64","Mar 27, 2025 11:29:49.275368000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"65","Mar 27, 2025 11:29:49.275368000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"66","Mar 27, 2025 11:29:49.275368000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"67","Mar 27, 2025 11:29:49.275400000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
